"","id","start_date","lat","lon","l1","l2","rooms","surface_total","surface_covered","price","currency","property_type","operation_type","fondo"
"1395","kFLVRC7dQyd39bIouskB6w==","2019-02-19",-34.5942248,-58.4095966,"Argentina","Capital Federal",1,33,30,13000,"ARS","Departamento","Alquiler",3
"499","X+yskvSF8Bl4IS940q68xg==","2018-12-30",-34.5762524685,-58.4875016726,"Argentina","Capital Federal",2,42,41,10500,"ARS","Departamento","Alquiler",1
"1128","JP7imMohIwhj6GwE9BxuDg==","2019-01-10",-34.6401124,-58.4430728,"Argentina","Capital Federal",1,40,40,12000,"ARS","Departamento","Alquiler",0
"1350","jwZQcuQEwDQdrIiHW/sjeQ==","2019-02-01",-34.5682901,-58.486219,"Argentina","Capital Federal",3,59,55,18000,"ARS","Departamento","Alquiler",4
"983","XUZuAj7x3XGCTD0mtY1z2A==","2019-06-22",-34.5706266,-58.4854147,"Argentina","Capital Federal",2,42,39,17000,"ARS","Departamento","Alquiler",3
"1791","dQl9TczuZQuTltO3ap0VpQ==","2019-06-11",-34.576946,-58.48946,"Argentina","Capital Federal",3,70,70,22000,"ARS","Departamento","Alquiler",0
"1516","yHha2kflgBX3tcKofawmtg==","2019-04-11",-34.591032,-58.3947,"Argentina","Capital Federal",2,43,43,12500,"ARS","Departamento","Alquiler",0
"1862","i5cx+WsirHi3dV128MTxwg==","2019-01-16",-34.57801437,-58.48445892,"Argentina","Capital Federal",1,44,44,14500,"ARS","Departamento","Alquiler",0
"1640","uYIzsP9Xa1ocJvXPkwmOdg==","2019-02-22",-34.5774984,-58.4813535,"Argentina","Capital Federal",2,50,50,15000,"ARS","Departamento","Alquiler",0
"1639","UTnQmpzs+lpHUW9P06JxCw==","2019-02-22",-34.5975638,-58.4105054,"Argentina","Capital Federal",2,54,40,13800,"ARS","Departamento","Alquiler",14
"843","odiyFIix+OneWquHrdsq5A==","2019-03-01",-34.6251564,-58.46247864,"Argentina","Capital Federal",NA,35,35,8500,"ARS","Departamento","Alquiler",0
"465","6mZboAeUsizsC+au59frDg==","2019-04-09",-34.589043,-58.403887,"Argentina","Capital Federal",3,58,55,17000,"ARS","Departamento","Alquiler",3
"996","ePJICcgAgQ12FfvwlFDWPA==","2019-06-03",-34.6255371434,-58.475026346,"Argentina","Capital Federal",4,85,85,15000,"ARS","Departamento","Alquiler",0
"1549","Ms1S2L/fWt5BgoTg6EVosg==","2019-05-17",-34.5832877,-58.4039411,"Argentina","Capital Federal",5,120,120,35000,"ARS","Departamento","Alquiler",0
"1832","Y5iDd8JRsRtusYt/k0ak3Q==","2019-06-17",-34.57200241,-58.48526382,"Argentina","Capital Federal",NA,40,33,13500,"ARS","Departamento","Alquiler",7
"1753","Yob1XeLMBB7SfmfEEWv33Q==","2019-05-10",-34.600109728,-58.4032615743,"Argentina","Capital Federal",NA,60,54,16000,"ARS","Departamento","Alquiler",6
"1200","8uHZA4tRjAnAv3Zx9P41jg==","2019-04-04",-34.5855643,-58.4073803,"Argentina","Capital Federal",4,126,126,50000,"ARS","Departamento","Alquiler",0
"1369","JdOkiVs8kxxTqmmRsxA0zA==","2019-03-19",-34.617059,-58.4425783,"Argentina","Capital Federal",4,105,85,15000,"ARS","Departamento","Alquiler",20
"1815","dCKD54uarKXs51ooXkPopA==","2019-01-29",-34.5957447,-58.4097622,"Argentina","Capital Federal",3,53,51,21000,"ARS","Departamento","Alquiler",2
"1134","+MB9s2U2Lq712XK1VadWVQ==","2019-01-10",-34.5878597,-58.4064108,"Argentina","Capital Federal",2,37,35,12000,"ARS","Departamento","Alquiler",2
"84","W0bGGSW8ioFnjXXnm93nZw==","2019-03-27",-34.5985323877,-58.4119440882,"Argentina","Capital Federal",2,45,42,17000,"ARS","Departamento","Alquiler",3
"1053","SO8g7VuVWYyTWCHHUNUqQA==","2019-01-27",-34.5932028282,-58.4069682619,"Argentina","Capital Federal",2,44,38,12000,"ARS","Departamento","Alquiler",6
"1165","yCsj2v9E8DKAm6UVkXy6Cw==","2019-06-13",-34.5889838649,-58.4116454852,"Argentina","Capital Federal",1,30,30,12000,"ARS","Departamento","Alquiler",0
"252","K8EZSzuJRps4nN50l/Y+RQ==","2019-05-08",-34.58183289,-58.47629547,"Argentina","Capital Federal",1,30,30,11000,"ARS","Casa","Alquiler",0
"733","vWoaO07MngS1x30PH+Y1Zw==","2019-03-10",-34.570884,-58.4886936,"Argentina","Capital Federal",2,55,45,18000,"ARS","Departamento","Alquiler",10
"620","QQC3eSi/LQXq414EuRbPng==","2019-02-07",-34.595477,-58.403852,"Argentina","Capital Federal",3,73,60,20500,"ARS","Departamento","Alquiler",13
"1328","2CC4H7vvK+TSNO8tEv7GQw==","2019-05-11",-34.5776306,-58.4877722,"Argentina","Capital Federal",3,79,73,20000,"ARS","Departamento","Alquiler",6
"1569","jKqEBAVbdddzFrY0Q1DW0w==","2019-03-06",-34.5986061,-58.3943032,"Argentina","Capital Federal",2,78,63,21000,"ARS","Departamento","Alquiler",15
"557","o4Mscw1AXSko50DPy9xWcw==","2019-04-17",-34.57544708,-58.48231125,"Argentina","Capital Federal",1,45,42,15000,"ARS","Departamento","Alquiler",3
"1685","/iJ9GmxozXdh1paUaAwNiQ==","2019-04-23",-34.5900931665,-58.4058414701,"Argentina","Capital Federal",3,60,60,22000,"ARS","Departamento","Alquiler",0
"287","0l08qxwX5JLoIZrVgCW6TA==","2019-01-03",-34.5898877,-58.4099335,"Argentina","Capital Federal",3,82,77,29000,"ARS","Departamento","Alquiler",5
"614","hgPLRhs1222d2dB7hD98kQ==","2019-02-07",-34.5730679,-58.4842532,"Argentina","Capital Federal",2,93,43,15000,"ARS","Departamento","Alquiler",50
